,datetime,time,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
131,9/12/2017,18:45:00+00:00,Sporting CP,OLY,SCP,g,2,3,2.1,3.15,1.249,2.298,1.412,0.744,D,1
132,9/12/2017,18:45:00+00:00,CSKA Moscow,BEN,CSKA,g,1,2,1.05,2.1,1.528,1.768,2.169,1.179,A,1
133,9/13/2017,18:45:00+00:00,Sevilla FC,LIV,SEV,g,2,2,2.1,1.68,2.499,1.267,2.332,0.74,E,1
134,9/13/2017,18:45:00+00:00,Borussia Dortmund,TOT,DOR,g,3,1,3.15,0.84,1.459,1.093,0.776,1.095,H,1
135,9/13/2017,18:45:00+00:00,Apoel Nicosia,MAD,NIC,g,3,0,3.15,0,4.514,0.192,2.534,0.263,H,1
136,9/13/2017,18:45:00+00:00,Spartak Moscow,MAR,SPM,g,1,1,1.05,1.05,0.958,1.396,1.369,1.804,E,1
137,9/13/2017,18:45:00+00:00,Napoli,SHK,NAP,g,2,1,2.1,1.05,1.523,1.725,0.476,1.593,F,1
138,9/13/2017,18:45:00+00:00,Besiktas,POR,BES,g,1,3,1.05,2.755,1.585,0.85,2.616,0.787,G,1
139,9/13/2017,18:45:00+00:00,Manchester City,FEY,MNC,g,0,4,0,4.2,0.268,1.58,0.275,1.354,F,1
140,9/13/2017,18:45:00+00:00,AS Monaco,RBL,MON,g,1,1,1.05,1.05,0.93,1.351,0.51,0.892,G,1
141,9/26/2017,18:45:00+00:00,Tottenham Hotspur,NIC,TOT,g,0,3,0,3.15,1.018,2.165,1.117,0.717,H,2
142,9/26/2017,18:45:00+00:00,Shakhtar Donetsk,MNC,SHK,g,2,0,1.599,0,3.36,0.499,1.51,0.42,F,2
143,9/26/2017,18:45:00+00:00,Feyenoord,NAP,FEY,g,3,1,3.15,1.05,1.097,1.497,1.088,0.487,F,2
144,9/26/2017,18:45:00+00:00,Real Madrid,DOR,MAD,g,1,3,1.05,2.925,1.223,3.399,1.584,1.803,H,2
145,9/26/2017,18:45:00+00:00,RB Leipzig,BES,RBL,g,2,0,2.1,0,0.835,1.082,0.777,1.311,G,2
146,9/26/2017,18:45:00+00:00,Liverpool,SPM,LIV,g,1,1,1.05,1.05,0.118,2.618,0.245,2.177,E,2
147,9/26/2017,18:45:00+00:00,FC Porto,MON,POR,g,0,3,0,2.658,0.696,3.753,1.376,2.159,G,2
148,9/26/2017,18:45:00+00:00,NK Maribor,SEV,MAR,g,3,0,2.82,0,3.847,0.286,3.541,0.317,E,2
