,datetime,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
147,26-Sep-2017,FC Porto,MON,POR,g,0,3,0,2.658,0.696,3.753,1.376,2.159,G,2
148,26-Sep-2017,NK Maribor,SEV,MAR,g,3,0,2.82,0,3.847,0.286,3.541,0.317,E,2
149,27-Sep-2017,AS Roma,QBG,ROM,g,1,2,1.05,2.1,0.751,1.788,0.708,2.031,C,2
150,27-Sep-2017,Celtic,RSCA,CEL,g,0,3,0,2.625,0.518,1.145,1.203,0.549,B,2
151,27-Sep-2017,Olympiacos,JUV,OLY,g,2,0,1.859,0,2.752,0.362,2.532,0.549,D,2
152,27-Sep-2017,Chelsea,ATL,CHE,g,1,2,1.05,2.1,1.459,2.293,0.439,2.103,C,2
153,27-Sep-2017,Barcelona,SCP,BAR,g,0,1,0,1.05,0.478,0.797,1.071,1.635,D,2
154,27-Sep-2017,Manchester United,CSKA,MAN,g,1,4,1.05,4.2,0.514,3.832,0.937,1.915,A,2
155,27-Sep-2017,Bayern Munich,PSG,BMU,g,3,0,3.15,0,1.994,1.052,1.05,2.301,B,2
156,27-Sep-2017,Benfica,BAS,BEN,g,5,0,4.074,0,3.148,0.579,0.699,0.795,A,2
157,17-Oct-2017,Borussia Dortmund,NIC,DOR,g,1,1,1.05,1.05,0.816,1.707,1.208,1.955,H,3
158,17-Oct-2017,Napoli,MNC,NAP,g,2,1,2.1,1.05,2.457,2.209,1.443,0.949,F,3
159,17-Oct-2017,Tottenham Hotspur,MAD,TOT,g,1,1,1.05,1.05,3.412,0.946,2.36,1.105,H,3
160,17-Oct-2017,Liverpool,MAR,LIV,g,0,7,0,6.423,0.376,4.014,0.641,3.53,E,3
161,17-Oct-2017,Sevilla FC,SPM,SEV,g,5,1,4.644,1.05,1.348,1.47,1.436,1.823,E,3
162,17-Oct-2017,Besiktas,MON,BES,g,1,2,1.05,2.1,0.669,1.415,1.189,1.028,G,3
163,17-Oct-2017,Shakhtar Donetsk,FEY,SHK,g,1,2,0.84,2.1,1.76,1.073,0.881,1.352,F,3
164,17-Oct-2017,FC Porto,RBL,POR,g,3,2,3.15,2.1,2.254,0.955,1.413,1.541,G,3
165,18-Oct-2017,Atletico Madrid,QBG,ATL,g,0,0,0,0,0.334,1.913,0.627,1.812,C,3
166,18-Oct-2017,Paris Saint-Germain,RSCA,PSG,g,0,4,0,3.741,1.09,3.449,0.966,1.879,B,3
167,18-Oct-2017,AS Roma,CHE,ROM,g,3,3,3.15,3.15,1.846,1.701,1.234,1.332,C,3
168,18-Oct-2017,Sporting CP,JUV,SCP,g,2,1,2.1,1.05,1.855,0.509,2.673,0.709,D,3
169,18-Oct-2017,Olympiacos,BAR,OLY,g,3,1,3.15,0.84,4.289,0.176,3.791,0.198,D,3
170,18-Oct-2017,Celtic,BMU,CEL,g,3,0,3.15,0,3.578,0.549,4.09,0.751,B,3
171,18-Oct-2017,Manchester United,BEN,MAN,g,0,1,0,0.84,1.144,0.453,0.972,0.695,A,3
172,18-Oct-2017,Basel,CSKA,BAS,g,0,2,0,1.577,0.375,1.066,1.663,0.819,A,3
173,31-Oct-2017,Benfica,MAN,BEN,g,2,0,1.9,0,2.829,1.044,1.322,0.918,A,4
174,31-Oct-2017,Bayern Munich,CEL,BMU,g,1,2,1.05,2.1,1.211,0.72,1.069,0.763,B,4
175,31-Oct-2017,Chelsea,ROM,CHE,g,3,0,3.15,0,1.405,1.438,1.12,1.827,C,4
176,31-Oct-2017,FK Qarabag,ATL,QBG,g,1,1,1.05,1.05,3.134,0.104,3.697,0.45,C,4
177,31-Oct-2017,Barcelona,OLY,BAR,g,0,0,0,0,0.307,2.452,0.44,2.118,D,4
178,31-Oct-2017,Juventus,SCP,JUV,g,1,1,1.05,1.05,0.521,1.843,0.726,2.341,D,4
179,31-Oct-2017,Anderlecht,PSG,RSCA,g,5,0,5.007,0,2.31,0.157,3.013,0.549,B,4
180,31-Oct-2017,CSKA Moscow,BAS,CSKA,g,1,2,1.05,2.1,0.9,1.183,0.98,1.598,A,4
181,1-Nov-2017,AS Monaco,BES,MON,g,1,1,1.05,1.05,1.222,1.146,1.461,1.052,G,4
182,1-Nov-2017,NK Maribor,LIV,MAR,g,3,0,2.636,0,3.399,0.235,4.374,0.333,E,4
183,1-Nov-2017,Real Madrid,TOT,MAD,g,3,1,3.15,1.05,2.28,2.862,1.238,1.843,H,4
184,1-Nov-2017,Manchester City,NAP,MNC,g,2,4,2.1,3.675,1.778,1.628,1.153,1.84,F,4
185,1-Nov-2017,Apoel Nicosia,DOR,NIC,g,1,1,1.05,1.05,2.359,0.578,3.372,0.312,H,4
186,1-Nov-2017,Feyenoord,SHK,FEY,g,3,1,3.15,1.05,2.912,0.834,1.923,0.7,F,4
187,1-Nov-2017,RB Leipzig,POR,RBL,g,3,1,2.625,1.05,1.56,0.385,1.122,0.562,G,4
188,1-Nov-2017,Spartak Moscow,SEV,SPM,g,2,1,2.1,1.05,1.093,1.092,1.445,0.664,E,4
189,21-Nov-2017,FC Porto,BES,POR,g,1,1,1.05,1.05,0.89,0.711,0.617,0.645,G,5
190,21-Nov-2017,NK Maribor,SPM,MAR,g,1,1,1.05,1.05,1.458,1.23,2.188,0.91,E,5
191,21-Nov-2017,Real Madrid,NIC,MAD,g,0,6,0,6.3,0.414,3.789,0.667,2.468,H,5
192,21-Nov-2017,Feyenoord,MNC,FEY,g,1,0,1.05,0,1.271,0.258,2.106,0.359,F,5
193,21-Nov-2017,Shakhtar Donetsk,NAP,SHK,g,3,0,2.55,0,1.856,0.464,1.24,1.311,F,5
194,21-Nov-2017,Tottenham Hotspur,DOR,TOT,g,1,2,1.05,2.1,0.868,1.585,1.471,1.54,H,5
195,21-Nov-2017,RB Leipzig,MON,RBL,g,1,4,1.05,4.2,0.591,1.413,1.438,0.748,G,5
196,21-Nov-2017,Liverpool,SEV,LIV,g,3,3,3.15,3.15,1.969,3.076,1.085,0.986,E,5
197,22-Nov-2017,Benfica,CSKA,BEN,g,2,0,2.1,0,1.036,0.956,1.315,1.272,A,5
198,22-Nov-2017,Chelsea,QBG,CHE,g,0,4,0,3.016,0.259,3.737,0.224,2.127,C,5
